GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mockito,cl.mauriciovera.model,PaymentHistory,18,0,0,0,5,0,3,0,3,0
mockito,cl.mauriciovera.model,User,3,6,0,0,1,3,1,1,1,1
mockito,cl.mauriciovera.model,Payment,12,15,0,0,4,6,4,1,4,1
mockito,cl.mauriciovera.service,CreditCardPayment,7,0,0,0,3,0,3,0,3,0
mockito,cl.mauriciovera.service,BankTransferPayment,7,0,0,0,3,0,3,0,3,0
mockito,cl.mauriciovera.service,PaymentProcessor,0,67,0,10,0,16,0,8,0,3
